nombre,equipo,liga,posicion,similitud,Time Played,Goals p90,Total Passes p90,Pass Accuracy %,Duel Win %,Shots on Target %,Save Ratio %,Interceptions p90,Aerial Win %
Mikel Oyarzabal,Real Sociedad de Fútbol,Spain_Primera_Division,Forward,99.8,2274.0,0.47,24.18,76.1,42.4,56.4,0.0,0.12,32.3
R. Philippe,Hamburger SV,Germany_Bundesliga,Forward,99.4,1135.0,0.4,14.59,70.7,32.1,56.0,0.0,0.32,11.8
O. Burke,1. FC Union Berlin,Germany_Bundesliga,Forward,99.3,1169.0,0.31,16.78,72.5,36.4,52.2,0.0,0.31,40.8
T. Lemperle,TSG 1899 Hoffenheim,Germany_Bundesliga,Forward,99.3,1505.0,0.42,24.22,70.4,34.7,51.5,0.0,0.3,43.5
T. Noslin,SS Lazio,Italy_Serie_A,Forward,99.0,623.0,0.43,30.77,82.2,50.0,56.2,0.0,0.14,45.2
André Silva,Elche CF,Spain_Primera_Division,Forward,98.9,1305.0,0.48,25.31,79.6,40.9,65.5,0.0,0.14,32.7
Jorge de Frutos,Rayo Vallecano de Madrid,Spain_Primera_Division,Forward,98.7,2021.0,0.45,13.63,77.5,41.2,57.9,0.0,0.31,33.3
Rafael Leão,AC Milan,Italy_Serie_A,Forward,98.7,1500.0,0.54,27.84,83.2,47.5,63.9,0.0,0.24,51.2
G. Simeone,Torino FC,Italy_Serie_A,Forward,98.7,1661.0,0.43,17.72,71.3,39.6,54.5,0.0,0.11,32.1
L. Ramazani,Valencia CF,Spain_Primera_Division,Forward,98.6,785.0,0.57,26.37,77.8,33.3,57.1,0.0,1.15,22.2
V. Rongier,Stade Rennais FC,France_Ligue_1,Midfielder,99.2,2295.0,0.04,67.1,89.0,53.3,60.0,0.0,1.25,52.4
André Almeida,Valencia CF,Spain_Primera_Division,Midfielder,98.8,1002.0,0.0,49.85,90.8,54.1,50.0,0.0,0.9,66.7
A. Jashari,AC Milan,Italy_Serie_A,Midfielder,98.8,459.0,0.0,61.96,92.4,45.7,40.0,0.0,0.98,14.3
L. Modrić,AC Milan,Italy_Serie_A,Midfielder,98.8,2546.0,0.07,70.31,90.6,54.9,58.3,0.0,1.34,47.6
M. Koné,AS Roma,Italy_Serie_A,Midfielder,98.8,2302.0,0.08,49.07,90.6,50.7,41.7,0.0,0.63,49.0
